Company,PN,Whse,Nomenclature,Cost,Retail,Type,Weight,Units,AltPN,Code,Vendor,Date Updated,Vendor PartID,Cost Change percentage,Status
01,5B35210B8P,01,VK3521 K8.0 3/4 QR Pend BR 286,11.44,0.00,50,0,EA,A,,VIKING,5/16/2025,23878AG,,
01,5B35210C3P,01,VK3521 K8.0 3/4 QR Pend CH 155,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878FB,,
01,5B35210C5P,01,VK3521 K8.0 3/4 QR Pend CH 175,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878FD,,
01,5B35210C6P,01,VK3521 K8.0 3/4 QR Pend CH 200,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878FE,,
01,5B35210C8P,01,VK3521 K8.0 3/4 QR Pend CH 286,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878FG,,
01,5B3521053P,01,VK3521 K8.0 3/4 QR Pend WH 155,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878MB/W,,
01,5B3521055P,01,VK3521 K8.0 3/4 QR Pend WH 175,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878MD/W,,
01,5B3521056P,01,VK3521 K8.0 3/4 QR Pend WH 200,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878ME/W,,
01,5B3521058P,01,VK3521 K8.0 3/4 QR Pend WH 286,13.63,0.00,50,0,EA,A,,VIKING,5/16/2025,23878MG/W,,
01,5B35220B3P,01,VK3522 K8.0 1/2 QR Pend BR 155,27.79,0.00,50,0,EA,A,,VIKING,5/16/2025,23874AB,,
01,5B35220B5P,01,VK3522 K8.0 1/2 QR Pend BR 175,27.79,0.00,50,0,EA,A,,VIKING,5/16/2025,23874AD,,
01,5B35220B6P,01,VK3522 K8.0 1/2 QR Pend BR 200,27.79,0.00,50,0,EA,A,,VIKING,5/16/2025,23874AE,,
01,5B35220B8P,01,VK3522 K8.0 1/2 QR Pend BR 286,27.79,0.00,50,0,EA,A,,VIKING,5/16/2025,23874AG,,
01,5B35220C3P,01,VK3522 K8.0 1/2 QR Pend CH 155,30.29,0.00,50,0,EA,A,,VIKING,5/16/2025,23874FB,,
